Parameters2,,,,,,,,,,,,,
,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,SIS2A ADDRESS,SIS2B ADDRESS,SIS1A ADDRESS,SIS1B ADDRESS,PLC TAG,REMARK
1,063-CP-850000-011,NSX,AC UPS2 INC1 063-9700-UPS-50565,400V,C2-5,ALARM,SERIAL MODBUS,120,360,,,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,C2-6,ALARM,SERIAL MODBUS,121,361,,,COMM.LINK,
1,063-CP-850000-011,VAMP,VAMP ARC FLASH PROT,400V,A,ALARM,MODBUS TCP,,,124,364,COMM.LINK,
1,063-CP-850000-011,VAMP,VAMPARC FLASH PROT,400V,B,ALARM,MODBUS TCP,,,125,365,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,A8,ALARM,SERIAL MODBUS,122,362,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,A7,ALARM,SERIAL MODBUS,123,363,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,A6,ALARM,SERIAL MODBUS,124,364,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,A5,ALARM,SERIAL MODBUS,125,365,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,A4,ALARM,SERIAL MODBUS,126,366,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,A3,ALARM,SERIAL MODBUS,127,367,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,A2,ALARM,SERIAL MODBUS,128,368,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,A1,ALARM,SERIAL MODBUS,129,369,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,A,ALARM,SERIAL MODBUS,130,370,,,COMM.LINK,
